"","LA1_edulis","LA10_umbellifera","LA12_capitataESU2","LA13_cylindrica","LA17_NA","LA18_chartacea","LA19_venusta","LA2_heterophylla","LA20a_nobilis","LA20b_nobilis","LA22_bourgonii","LA23_alata","LA25_acreana","LA26_setosa","LA28_venusta","LA3_alba","LA31_spectabilis","LA32_brachystachys","LA33_capitataESU1","LA34_tenuistipula","LA35_capitataESU3","LA37_punctata","LA4_thibaudiana","LA41_NA","LA42_fosteriana.","LA43_marginata","LA44_suaveolens","LA45_sapindoides","LA46_tomentosa","LA48_NA","LA49_ruiziana","LA55_NA","LA59_coruscans","LA6_NA","LA60_laurina","LA7_leiocalycina","LA8_auristellae","LA9_poeppigiana"
"LA1_edulis",0.723719058504723,0.276080321415276,0.303735318262438,0.0985937272259995,0.262988846938462,0.241009546801159,0.115432246801308,0.234692668883004,0.523809893681012,0.491787080824981,0.383077401081475,0.105036669565085,0.116576110670451,0.408749341520684,0.348928886857391,0.0342659048018683,0.353413322914742,0.353734187215291,0.284449215257465,0.538725736183604,0.308976413328306,0.350811782258972,0.300245631626321,0.458755346347529,0.586368179025435,0.122010383552751,0.366252666743118,0.0346682191469982,0.159937506409116,0.608561967860055,0.365989046162095,0.417478165094225,0.0726897208416018,0.396831214716173,0.234515712506791,0.39823327006247,0.12001396106175,0.321890052270174
"LA10_umbellifera",0.276080321415276,0.823100490375254,0.234494351072798,0.0855293063871959,0.205761045740327,0.152032608038669,0.0983001718787491,0.440478342813782,0.264225077842471,0.226071976546796,0.245660047682975,0.108415557240193,0.108598716236685,0.256137173137164,0.243124552101731,0.215321280447949,0.257284656731374,0.497062895332571,0.239626982997411,0.351191612629544,0.262532014199051,0.24328544835687,0.216282415117287,0.300772974984478,0.273088877037605,0.0917152741489539,0.251742660452628,0.0342561698173472,0.140840665966947,0.270956562126152,0.239721682869364,0.265687136299485,0.0615935191834774,0.263699473465208,0.455287767871534,0.259359735320681,0.106997165300338,0.205132743241292
"LA12_capitataESU2",0.303735318262438,0.234494351072798,0.824053300547293,0.0797987618729456,0.277807838397582,0.114584485634363,0.0733022268342977,0.381827924270329,0.297041168947979,0.247149397639909,0.18595504530902,0.125700582374013,0.0772323007960687,0.355076003372957,0.412310565690936,0.0342943356729726,0.378312021093841,0.377171374773176,0.720752071870936,0.27076931432073,0.686718402294458,0.340672899952235,0.266980210016532,0.324748969623479,0.310163707502345,0.0693755170266379,0.221186425358195,0.0267504082915515,0.0956911655869218,0.27906370517205,0.385890468101777,0.371655068567698,0.0582381844116682,0.363261443776663,0.379846116224092,0.26001561200311,0.105831737379356,0.296288413578796
"LA13_cylindrica",0.0985937272259995,0.0855293063871959,0.0797987618729456,0.757903957547695,0.0878775945111543,0.18737166193472,0.186111737289415,0.0961363941962848,0.0714285881028791,0.0793785877969151,0.139962284372563,0.261720396191539,0.20629453424518,0.138562184465793,0.134116813780249,0.0823999804269753,0.140912371650737,0.108083667470202,0.0859106136355521,0.0848578553546104,0.0931961337273075,0.124903392213758,0.109169319080244,0.0939529125940308,0.0845828131574162,0.213580270233005,0.0809518228041712,0.124368919427673,0.175428411766578,0.084305582334389,0.124277231691966,0.147041430576905,0.398641791187313,0.137962128600287,0.098562250217472,0.0765913133948744,0.223829346825969,0.117794956592729
"LA17_NA",0.262988846938462,0.205761045740327,0.277807838397582,0.0878775945111543,0.781588073789012,0.11449327579282,0.0939918139941475,0.267923716499484,0.233346777339186,0.190117343427098,0.188485747582283,0.108194047784311,0.094490850706968,0.355909759026889,0.340033665896515,0.0455472017121471,0.344553664928256,0.300239259906365,0.307055736499279,0.264364158983074,0.33357806795625,0.331944760505514,0.261843952093612,0.30917621863881,0.276415462330282,0.0779964987667734,0.273882424329404,0.0403584044730288,0.135967182009058,0.276616613580596,0.355243313018377,0.37639438325724,0.0647179937067253,0.345692967560008,0.262963658837774,0.243197531822244,0.105922514677416,0.254786695119441
"LA18_chartacea",0.241009546801159,0.152032608038669,0.114584485634363,0.18737166193472,0.11449327579282,0.870961371418879,0.39924708698896,0.113717339043087,0.199217290867037,0.223437756609213,0.343957942657173,0.181615769554721,0.544234326494179,0.161956391764478,0.140982253835241,0.0652974255313543,0.15120952085674,0.180049361874576,0.111885127048341,0.240048862499355,0.122849179142156,0.139759701464693,0.123142954540183,0.182038790255304,0.235279796858034,0.395051319060679,0.146325620641845,0.0728506202995948,0.540523742661882,0.228262308220396,0.152025936107255,0.162995739609382,0.200257034410404,0.149194270718483,0.121971464953514,0.156668152431818,0.5753783603615,0.116418111186191
"LA19_venusta",0.115432246801308,0.0983001718787491,0.0733022268342977,0.186111737289415,0.0939918139941475,0.39924708698896,0.842970486468608,0.0855188510584459,0.079128542407827,0.111071187696149,0.229773106361604,0.173887262413422,0.377916239499603,0.146171721792924,0.120280123546246,0.0793117577965039,0.143281989607717,0.0932670593170978,0.0847736581386045,0.129029982985805,0.0849620323793152,0.137412668039932,0.115958900515257,0.10556186609105,0.116446051647987,0.348130289645803,0.105910218023997,0.100967402738349,0.407316276843294,0.100542425460274,0.146913286599869,0.13666454546194,0.206946023481723,0.127828181633102,0.0865751353240716,0.103648288237765,0.38613571280899,0.103069710505878
"LA2_heterophylla",0.234692668883004,0.440478342813782,0.381827924270329,0.0961363941962848,0.267923716499484,0.113717339043087,0.0855188510584459,0.817120767875139,0.219091548941407,0.186427707253094,0.20634918060039,0.140959994527903,0.0927887536252665,0.292996999679337,0.335354096934328,0.225721664767772,0.346865240741827,0.617910122433249,0.410465904304168,0.304737827542585,0.429444004364434,0.345505195513336,0.268356087394345,0.263118602391216,0.24696880726076,0.0857181056004181,0.228504038244855,0.0368390906996967,0.122568811262248,0.227964005257116,0.312752270569121,0.330253527382917,0.0667234790033223,0.347511635079918,0.731563495358059,0.208830807234666,0.117255921453513,0.249172350617643
"LA20a_nobilis",0.523809893681012,0.264225077842471,0.297041168947979,0.0714285881028791,0.233346777339186,0.199217290867037,0.079128542407827,0.219091548941407,0.792479472381354,0.535425739752462,0.343195903813328,0.0822475018996116,0.103766994119792,0.338140014986751,0.310071649124081,0.0255762248066454,0.298394825399507,0.307649025649184,0.269201548322003,0.548105478054528,0.286484657519627,0.261701861678049,0.224987511317706,0.366730794328519,0.566261807450775,0.0956026553617813,0.266551454347943,0.026200698685919,0.120936163194457,0.607937300477287,0.362111192050084,0.328755992260604,0.0529568448237988,0.320067361078829,0.224791637332625,0.301902927163767,0.0913482423916435,0.277178380482584
"LA20b_nobilis",0.491787080824981,0.226071976546796,0.247149397639909,0.0793785877969151,0.190117343427098,0.223437756609213,0.111071187696149,0.186427707253094,0.535425739752462,0.609420157392522,0.374555173470748,0.0845049662463548,0.110771307532741,0.293826542977236,0.260847893284783,0.0339565580125677,0.277569268162376,0.256736788903036,0.222607249542825,0.496545430467165,0.228639899655038,0.250211883572785,0.22120061706112,0.341892306309265,0.525235790300804,0.138114272449018,0.252854096706864,0.0325987770621916,0.15621034334418,0.556822925834597,0.299706816712253,0.277047359250801,0.0699827302832462,0.275287951420518,0.177795863803418,0.311886440929186,0.109979418123883,0.248780724194188
"LA22_bourgonii",0.383077401081475,0.245660047682975,0.18595504530902,0.139962284372563,0.188485747582283,0.343957942657173,0.229773106361604,0.20634918060039,0.343195903813328,0.374555173470748,0.795063914614997,0.12991096348452,0.21221202806624,0.253825590183545,0.223518192559973,0.0566240351895507,0.248282615617013,0.278324172628897,0.186361692577466,0.392026899550895,0.1945592618466,0.244938659277178,0.207952030854397,0.279396141458485,0.377107390531533,0.275747829953545,0.248938746437331,0.058227087680979,0.278071831065459,0.385438467594883,0.249576452711049,0.258492498395596,0.12891288095102,0.250677535534626,0.215387302612232,0.260685232338643,0.218716168464378,0.196354993947303
"LA23_alata",0.105036669565085,0.108415557240193,0.125700582374013,0.261720396191539,0.108194047784311,0.181615769554721,0.173887262413422,0.140959994527903,0.0822475018996116,0.0845049662463548,0.12991096348452,0.809823042145322,0.195774971192991,0.14596913627911,0.151577649650102,0.0882752890483408,0.155134719963254,0.143608729232781,0.137030963247712,0.0900301073209475,0.152830539058564,0.135074079289035,0.113349291349072,0.109014789928733,0.100236551006751,0.16911147344636,0.0846707464642929,0.152315148343932,0.153654863099535,0.0863131192173215,0.13678998702471,0.164554138037065,0.212575574991901,0.148800656326147,0.150720666634219,0.0805423262583944,0.22545262694076,0.110551027718691
"LA25_acreana",0.116576110670451,0.108598716236685,0.0772323007960687,0.20629453424518,0.094490850706968,0.544234326494179,0.377916239499603,0.0927887536252665,0.103766994119792,0.110771307532741,0.21221202806624,0.195774971192991,0.773668738994194,0.145154743913095,0.117103989788111,0.0859662099749436,0.127882461095542,0.111939867312955,0.0839783420204015,0.117982922387633,0.0955365380603942,0.11566667116039,0.104926852749799,0.106555278059014,0.106971926453971,0.362963107186752,0.0967813908307203,0.104531376606694,0.439213389970739,0.103246150714185,0.126973934451448,0.142416573274057,0.21301117938567,0.130970862586957,0.101554067341859,0.0859498514066701,0.533501428824829,0.10317801596506
"LA26_setosa",0.408749341520684,0.256137173137164,0.355076003372957,0.138562184465793,0.355909759026889,0.161956391764478,0.146171721792924,0.292996999679337,0.338140014986751,0.293826542977236,0.253825590183545,0.14596913627911,0.145154743913095,0.830637059773073,0.554450339827073,0.0409518711633731,0.559137304416118,0.342635920386359,0.38110564978868,0.372019559056256,0.399118688414016,0.498395152140241,0.413607596603608,0.421384605240922,0.42951762497342,0.109454606507909,0.327140975947811,0.045865407998122,0.188418881078573,0.363012109799581,0.615938629287315,0.644979016292378,0.0988178481647932,0.572336841725165,0.282863338356487,0.310248846445589,0.170111205143664,0.465161170659544
"LA28_venusta",0.348928886857391,0.243124552101731,0.412310565690936,0.134116813780249,0.340033665896515,0.140982253835241,0.120280123546246,0.335354096934328,0.310071649124081,0.260847893284783,0.223518192559973,0.151577649650102,0.117103989788111,0.554450339827073,0.817154241689,0.0375121533228907,0.600265009051977,0.354934137469235,0.411939909718957,0.331580989112479,0.441714337218953,0.50775795850566,0.41661151322071,0.367453474119515,0.379863252053917,0.0883430972172601,0.276620876683558,0.0392253928544647,0.148181162915388,0.33802217552873,0.570952464953669,0.627623669018525,0.0956741233711648,0.557376230118721,0.321204624909605,0.284154864999773,0.175569159642712,0.495684535091489
"LA3_alba",0.0342659048018683,0.215321280447949,0.0342943356729726,0.0823999804269753,0.0455472017121471,0.0652974255313543,0.0793117577965039,0.225721664767772,0.0255762248066454,0.0339565580125677,0.0566240351895507,0.0882752890483408,0.0859662099749436,0.0409518711633731,0.0375121533228907,0.786698916472822,0.0491872757564373,0.215175543992941,0.0447395503845593,0.112486277562959,0.037120021629342,0.0554355219568483,0.0515896885529954,0.0359482852389432,0.0347175166301625,0.081157953561329,0.047449756522875,0.417123051443709,0.0709766462317343,0.0351886877350995,0.0438147700066071,0.0426678790022957,0.0833482190567427,0.0417329878620629,0.224030984101461,0.0412494014250833,0.0789531866492918,0.0358951550422303
"LA31_spectabilis",0.353413322914742,0.257284656731374,0.378312021093841,0.140912371650737,0.344553664928256,0.15120952085674,0.143281989607717,0.346865240741827,0.298394825399507,0.277569268162376,0.248282615617013,0.155134719963254,0.127882461095542,0.559137304416118,0.600265009051977,0.0491872757564373,0.774051575220341,0.35276584099282,0.387758379777508,0.353070977066994,0.412187420649545,0.539267820665326,0.428679872843778,0.391122434321704,0.387492049149585,0.107879045273064,0.324808817478676,0.0505925377145024,0.181821508212748,0.346354701886972,0.565044667364061,0.603920250222302,0.115402733053283,0.553421465732511,0.330615914124103,0.323302490020001,0.176784975506524,0.469552524719835
"LA32_brachystachys",0.353734187215291,0.497062895332571,0.377171374773176,0.108083667470202,0.300239259906365,0.180049361874576,0.0932670593170978,0.617910122433249,0.307649025649184,0.256736788903036,0.278324172628897,0.143608729232781,0.111939867312955,0.342635920386359,0.354934137469235,0.215175543992941,0.35276584099282,0.870324605228834,0.352514806203483,0.410665680669723,0.395573342287765,0.313140641718751,0.267936022138593,0.364469435220789,0.352381411975235,0.0938002182073092,0.264954696059911,0.0347671940727484,0.131284796815003,0.358774280554168,0.331359215666439,0.380208157481665,0.0686379757813967,0.362424597807078,0.632698781270911,0.283363642824468,0.130524745599266,0.279127202976573
"LA33_capitataESU1",0.284449215257465,0.239626982997411,0.720752071870936,0.0859106136355521,0.307055736499279,0.111885127048341,0.0847736581386045,0.410465904304168,0.269201548322003,0.222607249542825,0.186361692577466,0.137030963247712,0.0839783420204015,0.38110564978868,0.411939909718957,0.0447395503845593,0.387758379777508,0.352514806203483,0.828645319851665,0.264470841733112,0.721778138180536,0.358359659496665,0.275039501630047,0.313265613955315,0.290839448941335,0.0726925193399972,0.234058123620234,0.0356624833151729,0.105703669437333,0.25224953580891,0.386056255432732,0.384735650042527,0.0619831351318624,0.37426220799378,0.410587485913297,0.249016987714239,0.112978592120467,0.280588453280189
"LA34_tenuistipula",0.538725736183604,0.351191612629544,0.27076931432073,0.0848578553546104,0.264364158983074,0.240048862499355,0.129029982985805,0.304737827542585,0.548105478054528,0.496545430467165,0.392026899550895,0.0900301073209475,0.117982922387633,0.372019559056256,0.331580989112479,0.112486277562959,0.353070977066994,0.410665680669723,0.264470841733112,0.851045471167059,0.283871565238467,0.317516636301051,0.248727154245035,0.405114234137719,0.599879054112888,0.111035892576132,0.287076694211193,0.0365890001145873,0.155329349234119,0.570665398556076,0.378040527350901,0.349029305445993,0.0665682145276578,0.342233394982573,0.304994376373499,0.337445703811248,0.108734728276861,0.269415021618272
"LA35_capitataESU3",0.308976413328306,0.262532014199051,0.686718402294458,0.0931961337273075,0.33357806795625,0.122849179142156,0.0849620323793152,0.429444004364434,0.286484657519627,0.228639899655038,0.1945592618466,0.152830539058564,0.0955365380603942,0.399118688414016,0.441714337218953,0.037120021629342,0.412187420649545,0.395573342287765,0.721778138180536,0.283871565238467,0.880266198558032,0.374673765615963,0.285383846126451,0.35925976840803,0.324602894525743,0.0734985987448128,0.256429983611708,0.0306994269606982,0.113097194756885,0.278209598342154,0.403206667429197,0.42429088048683,0.0621413144133666,0.429980138012607,0.430950835715327,0.26987590623507,0.11809241574,0.296598994865633
"LA37_punctata",0.350811782258972,0.24328544835687,0.340672899952235,0.124903392213758,0.331944760505514,0.139759701464693,0.137412668039932,0.345505195513336,0.261701861678049,0.250211883572785,0.244938659277178,0.135074079289035,0.11566667116039,0.498395152140241,0.50775795850566,0.0554355219568483,0.539267820665326,0.313140641718751,0.358359659496665,0.317516636301051,0.374673765615963,0.694592047436592,0.44697524682892,0.378840798944041,0.360496776179791,0.109774318078661,0.354448560874461,0.0525524939500333,0.180868036348385,0.338385476790516,0.51822536197937,0.495414826677764,0.0994512492065911,0.563200768773537,0.298575886035345,0.331807744382314,0.146162848499303,0.419812237813028
"LA4_thibaudiana",0.300245631626321,0.216282415117287,0.266980210016532,0.109169319080244,0.261843952093612,0.123142954540183,0.115958900515257,0.268356087394345,0.224987511317706,0.22120061706112,0.207952030854397,0.113349291349072,0.104926852749799,0.413607596603608,0.41661151322071,0.0515896885529954,0.428679872843778,0.267936022138593,0.275039501630047,0.248727154245035,0.285383846126451,0.44697524682892,0.549624079474827,0.288981962397508,0.28817276999304,0.0993022690979934,0.274951824599233,0.0431773361187037,0.153050100474492,0.280461237509974,0.397015844311618,0.436937185394419,0.085195716368147,0.419791455966251,0.236960856660709,0.286680555254737,0.137138137439554,0.397244939968218
"LA41_NA",0.458755346347529,0.300772974984478,0.324748969623479,0.0939529125940308,0.30917621863881,0.182038790255304,0.10556186609105,0.263118602391216,0.366730794328519,0.341892306309265,0.279396141458485,0.109014789928733,0.106555278059014,0.421384605240922,0.367453474119515,0.0359482852389432,0.391122434321704,0.364469435220789,0.313265613955315,0.405114234137719,0.35925976840803,0.378840798944041,0.288981962397508,0.849659895081873,0.470522446598481,0.0975134427072808,0.447081853765276,0.0387791191363777,0.151898963811901,0.463201169606113,0.377093174787793,0.406206716729655,0.0739136137891762,0.433143932926636,0.245660025738107,0.538929755956388,0.10807230303743,0.309762934381653
"LA42_fosteriana.",0.586368179025435,0.273088877037605,0.310163707502345,0.0845828131574162,0.276415462330282,0.235279796858034,0.116446051647987,0.24696880726076,0.566261807450775,0.525235790300804,0.377107390531533,0.100236551006751,0.106971926453971,0.42951762497342,0.379863252053917,0.0347175166301625,0.387492049149585,0.352381411975235,0.290839448941335,0.599879054112888,0.324602894525743,0.360496776179791,0.28817276999304,0.470522446598481,0.813047454895675,0.112215820133846,0.343408004340159,0.0379853709371608,0.156082640908273,0.632090286847177,0.427852390147439,0.395474463830856,0.069981256848081,0.394050001313987,0.22395862394963,0.390972023951088,0.10222529680224,0.307880970539635
"LA43_marginata",0.122010383552751,0.0917152741489539,0.0693755170266379,0.213580270233005,0.0779964987667734,0.395051319060679,0.348130289645803,0.0857181056004181,0.0956026553617813,0.138114272449018,0.275747829953545,0.16911147344636,0.362963107186752,0.109454606507909,0.0883430972172601,0.081157953561329,0.107879045273064,0.0938002182073092,0.0726925193399972,0.111035892576132,0.0734985987448128,0.109774318078661,0.0993022690979934,0.0975134427072808,0.112215820133846,0.680062338412569,0.0921119647872512,0.0941762347584646,0.362687677130835,0.104337067516301,0.111797300296624,0.108183620521352,0.246628498227402,0.106314604216807,0.0835702547633766,0.0922461576702053,0.394757679517777,0.084935146200422
"LA44_suaveolens",0.366252666743118,0.251742660452628,0.221186425358195,0.0809518228041712,0.273882424329404,0.146325620641845,0.105910218023997,0.228504038244855,0.266551454347943,0.252854096706864,0.248938746437331,0.0846707464642929,0.0967813908307203,0.327140975947811,0.276620876683558,0.047449756522875,0.324808817478676,0.264954696059911,0.234058123620234,0.287076694211193,0.256429983611708,0.354448560874461,0.274951824599233,0.447081853765276,0.343408004340159,0.0921119647872512,0.808021310084309,0.0450563698262621,0.161502395375852,0.387076074648947,0.282071018580146,0.324676477862277,0.0654571259967298,0.323324329137969,0.217855990857621,0.43857316347561,0.0854959328742909,0.26267296865186
"LA45_sapindoides",0.0346682191469982,0.0342561698173472,0.0267504082915515,0.124368919427673,0.0403584044730288,0.0728506202995948,0.100967402738349,0.0368390906996967,0.026200698685919,0.0325987770621916,0.058227087680979,0.152315148343932,0.104531376606694,0.045865407998122,0.0392253928544647,0.417123051443709,0.0505925377145024,0.0347671940727484,0.0356624833151729,0.0365890001145873,0.0306994269606982,0.0525524939500333,0.0431773361187037,0.0387791191363777,0.0379853709371608,0.0941762347584646,0.0450563698262621,0.836212769525628,0.0781082632667993,0.0320928933041758,0.0430539240250228,0.0465963966878338,0.114735291569795,0.0420829919173281,0.0356787478993331,0.0368740115477821,0.0842650612369886,0.0368389774756017
"LA46_tomentosa",0.159937506409116,0.140840665966947,0.0956911655869218,0.175428411766578,0.135967182009058,0.540523742661882,0.407316276843294,0.122568811262248,0.120936163194457,0.15621034334418,0.278071831065459,0.153654863099535,0.439213389970739,0.188418881078573,0.148181162915388,0.0709766462317343,0.181821508212748,0.131284796815003,0.105703669437333,0.155329349234119,0.113097194756885,0.180868036348385,0.153050100474492,0.151898963811901,0.156082640908273,0.362687677130835,0.161502395375852,0.0781082632667993,0.772875161879742,0.14352432188417,0.191299268825587,0.181963418100453,0.202223822948733,0.165234551912497,0.122363059569657,0.14670707318902,0.462764907796491,0.13569673821618
"LA48_NA",0.608561967860055,0.270956562126152,0.27906370517205,0.084305582334389,0.276616613580596,0.228262308220396,0.100542425460274,0.227964005257116,0.607937300477287,0.556822925834597,0.385438467594883,0.0863131192173215,0.103246150714185,0.363012109799581,0.33802217552873,0.0351886877350995,0.346354701886972,0.358774280554168,0.25224953580891,0.570665398556076,0.278209598342154,0.338385476790516,0.280461237509974,0.463201169606113,0.632090286847177,0.104337067516301,0.387076074648947,0.0320928933041758,0.14352432188417,0.849110762127813,0.350383799487407,0.358300395253159,0.067447606392413,0.351044073897777,0.225314035195415,0.400738683739729,0.0917521067974228,0.324570733625586
"LA49_ruiziana",0.365989046162095,0.239721682869364,0.385890468101777,0.124277231691966,0.355243313018377,0.152025936107255,0.146913286599869,0.312752270569121,0.362111192050084,0.299706816712253,0.249576452711049,0.13678998702471,0.126973934451448,0.615938629287315,0.570952464953669,0.0438147700066071,0.565044667364061,0.331359215666439,0.386056255432732,0.378040527350901,0.403206667429197,0.51822536197937,0.397015844311618,0.377093174787793,0.427852390147439,0.111797300296624,0.282071018580146,0.0430539240250228,0.191299268825587,0.350383799487407,0.792311052033594,0.574009149303174,0.102654039896884,0.53622900991084,0.307630744143086,0.291597491280529,0.155433192307155,0.441128075786653
"LA55_NA",0.417478165094225,0.265687136299485,0.371655068567698,0.147041430576905,0.37639438325724,0.162995739609382,0.13666454546194,0.330253527382917,0.328755992260604,0.277047359250801,0.258492498395596,0.164554138037065,0.142416573274057,0.644979016292378,0.627623669018525,0.0426678790022957,0.603920250222302,0.380208157481665,0.384735650042527,0.349029305445993,0.42429088048683,0.495414826677764,0.436937185394419,0.406206716729655,0.395474463830856,0.108183620521352,0.324676477862277,0.0465963966878338,0.181963418100453,0.358300395253159,0.574009149303174,0.79069999191715,0.10113067577523,0.601584425006624,0.320995552182349,0.316024507313276,0.191946574558385,0.494399903562917
"LA59_coruscans",0.0726897208416018,0.0615935191834774,0.0582381844116682,0.398641791187313,0.0647179937067253,0.200257034410404,0.206946023481723,0.0667234790033223,0.0529568448237988,0.0699827302832462,0.12891288095102,0.212575574991901,0.21301117938567,0.0988178481647932,0.0956741233711648,0.0833482190567427,0.115402733053283,0.0686379757813967,0.0619831351318624,0.0665682145276578,0.0621413144133666,0.0994512492065911,0.085195716368147,0.0739136137891762,0.069981256848081,0.246628498227402,0.0654571259967298,0.114735291569795,0.202223822948733,0.067447606392413,0.102654039896884,0.10113067577523,0.842056368644866,0.08634986603145,0.0669443798013093,0.0623750178167271,0.221796768927964,0.082563381320699
"LA6_NA",0.396831214716173,0.263699473465208,0.363261443776663,0.137962128600287,0.345692967560008,0.149194270718483,0.127828181633102,0.347511635079918,0.320067361078829,0.275287951420518,0.250677535534626,0.148800656326147,0.130970862586957,0.572336841725165,0.557376230118721,0.0417329878620629,0.553421465732511,0.362424597807078,0.37426220799378,0.342233394982573,0.429980138012607,0.563200768773537,0.419791455966251,0.433143932926636,0.394050001313987,0.106314604216807,0.323324329137969,0.0420829919173281,0.165234551912497,0.351044073897777,0.53622900991084,0.601584425006624,0.08634986603145,0.748008485359374,0.317466950516668,0.337741560856581,0.164649144688509,0.458620186136591
"LA60_laurina",0.234515712506791,0.455287767871534,0.379846116224092,0.098562250217472,0.262963658837774,0.121971464953514,0.0865751353240716,0.731563495358059,0.224791637332625,0.177795863803418,0.215387302612232,0.150720666634219,0.101554067341859,0.282863338356487,0.321204624909605,0.224030984101461,0.330615914124103,0.632698781270911,0.410587485913297,0.304994376373499,0.430950835715327,0.298575886035345,0.236960856660709,0.245660025738107,0.22395862394963,0.0835702547633766,0.217855990857621,0.0356787478993331,0.122363059569657,0.225314035195415,0.307630744143086,0.320995552182349,0.0669443798013093,0.317466950516668,0.914504445120696,0.20370332113669,0.124279178696118,0.232105515367584
"LA7_leiocalycina",0.39823327006247,0.259359735320681,0.26001561200311,0.0765913133948744,0.243197531822244,0.156668152431818,0.103648288237765,0.208830807234666,0.301902927163767,0.311886440929186,0.260685232338643,0.0805423262583944,0.0859498514066701,0.310248846445589,0.284154864999773,0.0412494014250833,0.323302490020001,0.283363642824468,0.249016987714239,0.337445703811248,0.26987590623507,0.331807744382314,0.286680555254737,0.538929755956388,0.390972023951088,0.0922461576702053,0.43857316347561,0.0368740115477821,0.14670707318902,0.400738683739729,0.291597491280529,0.316024507313276,0.0623750178167271,0.337741560856581,0.20370332113669,0.625965273410891,0.0896496517492706,0.279501039956727
"LA8_auristellae",0.12001396106175,0.106997165300338,0.105831737379356,0.223829346825969,0.105922514677416,0.5753783603615,0.38613571280899,0.117255921453513,0.0913482423916435,0.109979418123883,0.218716168464378,0.22545262694076,0.533501428824829,0.170111205143664,0.175569159642712,0.0789531866492918,0.176784975506524,0.130524745599266,0.112978592120467,0.108734728276861,0.11809241574,0.146162848499303,0.137138137439554,0.10807230303743,0.10222529680224,0.394757679517777,0.0854959328742909,0.0842650612369886,0.462764907796491,0.0917521067974228,0.155433192307155,0.191946574558385,0.221796768927964,0.164649144688509,0.124279178696118,0.0896496517492706,0.791403993995579,0.139362973263371
"LA9_poeppigiana",0.321890052270174,0.205132743241292,0.296288413578796,0.117794956592729,0.254786695119441,0.116418111186191,0.103069710505878,0.249172350617643,0.277178380482584,0.248780724194188,0.196354993947303,0.110551027718691,0.10317801596506,0.465161170659544,0.495684535091489,0.0358951550422303,0.469552524719835,0.279127202976573,0.280588453280189,0.269415021618272,0.296598994865633,0.419812237813028,0.397244939968218,0.309762934381653,0.307880970539635,0.084935146200422,0.26267296865186,0.0368389774756017,0.13569673821618,0.324570733625586,0.441128075786653,0.494399903562917,0.082563381320699,0.458620186136591,0.232105515367584,0.279501039956727,0.139362973263371,0.578897372119235
